,sucursal,nombre,ip,channel,starttime,endtime,diff
214,2062,NOPALA DE VILLAGRAN HIDALGO,192.168.240.226,5,2023-04-18 18:16:54,2023-04-18 23:59:00,342.1
215,2062,NOPALA DE VILLAGRAN HIDALGO,192.168.240.226,5,2023-04-18 14:16:10,2023-04-18 17:59:31,223.35
216,2060,MOCHITLAN,192.169.38.130,0,2023-04-18 18:16:43,2023-04-18 23:59:00,342.28333333333336
217,2015,,192.169.41.162,5,2023-04-18 12:55:17,2023-04-18 13:01:08,5.85
218,2007,SAN PEDRO DE LOS BAÑOS TOLUCA ESTADO DE MEXICO,192.168.237.178,0,2023-04-18 18:12:40,2023-04-18 18:45:15,32.583333333333336
219,2007,SAN PEDRO DE LOS BAÑOS TOLUCA ESTADO DE MEXICO,192.168.237.178,1,2023-04-18 18:12:46,2023-04-18 18:45:15,32.483333333333334
220,2007,SAN PEDRO DE LOS BAÑOS TOLUCA ESTADO DE MEXICO,192.168.237.178,2,2023-04-18 18:12:42,2023-04-18 18:45:15,32.55
221,2007,SAN PEDRO DE LOS BAÑOS TOLUCA ESTADO DE MEXICO,192.168.237.178,3,2023-04-18 18:12:41,2023-04-18 18:46:15,33.56666666666667
222,2007,SAN PEDRO DE LOS BAÑOS TOLUCA ESTADO DE MEXICO,192.168.237.178,4,2023-04-18 18:12:46,2023-04-18 18:46:15,33.483333333333334
223,2007,SAN PEDRO DE LOS BAÑOS TOLUCA ESTADO DE MEXICO,192.168.237.178,5,2023-04-18 18:12:41,2023-04-18 18:45:15,32.56666666666667
224,2005,,192.169.41.130,1,2023-04-19 00:00:00,2023-04-18 23:59:00,-1.0
225,2005,,192.169.41.130,2,2023-04-19 00:00:00,2023-04-18 23:59:00,-1.0
226,2005,,192.169.41.130,3,2023-04-19 00:00:00,2023-04-18 23:59:00,-1.0
227,2005,,192.169.41.130,4,2023-04-19 00:00:00,2023-04-18 23:59:00,-1.0
228,2005,,192.169.41.130,5,2023-04-19 00:00:00,2023-04-18 23:59:00,-1.0
229,2004,"PRIMERA DE MAYO, HUEYPOXTLA",192.169.41.114,0,2023-04-19 00:00:00,2023-04-18 23:59:00,-1.0
230,1974,EMILIO CARRANZA CENTRO,192.169.16.66,0,2023-04-18 19:10:00,2023-04-18 20:54:36,104.6
231,1974,EMILIO CARRANZA CENTRO,192.169.16.66,1,2023-04-18 19:10:50,2023-04-18 20:54:36,103.76666666666667
232,1974,EMILIO CARRANZA CENTRO,192.169.16.66,2,2023-04-18 19:12:08,2023-04-18 20:54:36,102.46666666666667
233,1974,EMILIO CARRANZA CENTRO,192.169.16.66,3,2023-04-18 19:11:36,2023-04-18 20:54:36,103.0
234,1974,EMILIO CARRANZA CENTRO,192.169.16.66,4,2023-04-18 19:26:24,2023-04-18 20:55:36,89.2
235,1974,EMILIO CARRANZA CENTRO,192.169.16.66,5,2023-04-18 19:24:46,2023-04-18 20:55:07,90.35
236,1933,"MIAHUATLAN, REFORMA",192.169.0.82,2,2023-04-18 13:38:53,2023-04-18 20:29:58,411.0833333333333
237,1919,TERRENATE,192.168.253.242,0,2023-04-17 22:59:00,2023-04-18 08:42:41,583.6833333333333
238,1919,TERRENATE,192.168.253.242,1,2023-04-17 22:59:00,2023-04-18 08:42:42,583.7
239,1919,TERRENATE,192.168.253.242,2,2023-04-17 22:59:00,2023-04-18 08:42:41,583.6833333333333
240,1919,TERRENATE,192.168.253.242,3,2023-04-17 22:59:00,2023-04-18 08:42:41,583.6833333333333
